datesk;Item Name;Date;price
20110421;Chillies Green;21/04/2011;NULL
20110421;Chillies Bajji;21/04/2011;NULL
20110421;Chillies Cleaned;21/04/2011;NULL
20110421;Chillies small (C.B.P);21/04/2011;NULL
20110421;Chillies Bajji yagani;21/04/2011;NULL
20110422;Chillies small (C.B.P);22/04/2011;NULL
20110422;Chillies Cleaned;22/04/2011;NULL
20110422;Chillies Bajji;22/04/2011;NULL
20110422;Chillies Green;22/04/2011;NULL
20110422;Chillies Bajji yagani;22/04/2011;NULL
20110423;Chillies Green;23/04/2011;NULL
20110423;Chillies Bajji;23/04/2011;NULL
20110423;Chillies Cleaned;23/04/2011;NULL
